name,price,brand,category,description
iPhone 13,52000,Apple,Smartphone,Premium iPhone with excellent camera performance and smooth iOS experience
iPhone 12,45000,Apple,Smartphone,Apple smartphone with great camera and solid performance
Samsung Galaxy S21,30000,Samsung,Smartphone,Flagship phone with AMOLED display and powerful processor
Samsung Galaxy M34,18000,Samsung,Smartphone,Mid-range phone with huge battery and good performance
Redmi Note 12,15000,Xiaomi,Smartphone,Budget phone with strong battery life and decent camera
Redmi Note 11 Pro,17000,Xiaomi,Smartphone,Affordable phone with good camera and fast charging
Realme Narzo 60,12000,Realme,Smartphone,Affordable phone with good battery and gaming performance
Realme GT Neo 3,25000,Realme,Smartphone,High performance phone with fast charging and gaming focus
OnePlus Nord CE 3,27000,OnePlus,Smartphone,Smooth performance with clean UI and decent camera
OnePlus 11R,40000,OnePlus,Smartphone,Flagship killer with fast processor and premium design
Vivo V27,32000,Vivo,Smartphone,Stylish phone with good camera and portrait photography
Oppo Reno 8,29000,Oppo,Smartphone,Sleek design with good camera and fast charging support
Motorola Edge 40,35000,Motorola,Smartphone,Clean Android experience with good performance
Poco X5 Pro,21000,Poco,Smartphone,Powerful performance phone with gaming capability
Asus ROG Phone 6,60000,Asus,Smartphone,Ultimate gaming phone with high refresh rate and cooling system
Dell Inspiron 15,55000,Dell,Laptop,Reliable laptop for students and office work with decent performance
HP Pavilion 14,60000,HP,Laptop,Lightweight laptop with good battery life and performance
MacBook Air M1,75000,Apple,Laptop,Powerful and efficient laptop with long battery life
Lenovo IdeaPad Slim 5,52000,Lenovo,Laptop,Affordable laptop with good performance for daily tasks
Asus VivoBook 15,48000,Asus,Laptop,Budget laptop suitable for students and office use
Sony WH-1000XM4,25000,Sony,Headphones,Premium noise cancelling headphones with excellent sound quality
Boat Rockerz 450,1500,Boat,Headphones,Budget wireless headphones with decent sound and battery
JBL Tune 760NC,7000,JBL,Headphones,Noise cancelling headphones with balanced sound profile
Apple AirPods Pro,24000,Apple,Earbuds,Premium earbuds with active noise cancellation and great sound
Realme Buds Air 3,4000,Realme,Earbuds,Affordable earbuds with ANC and good battery life
Samsung Galaxy Buds 2,8000,Samsung,Earbuds,Comfortable earbuds with good sound and ANC
Fire-Boltt Ninja Watch,2000,Fire-Boltt,Smartwatch,Budget smartwatch with fitness tracking features
Apple Watch Series 8,45000,Apple,Smartwatch,Premium smartwatch with health tracking and smooth performance
Noise ColorFit Pro 4,3500,Noise,Smartwatch,Affordable smartwatch with good battery and fitness features
Samsung Galaxy Watch 5,28000,Samsung,Smartwatch,Feature-rich smartwatch with health monitoring
Logitech MX Master 3,9000,Logitech,Accessories,Premium mouse with ergonomic design and productivity features
HP Wireless Mouse,800,HP,Accessories,Basic wireless mouse for everyday use
Zebronics Keyboard,700,Zebronics,Accessories,Budget keyboard suitable for office work
